Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,57.0,1144.0,0.0,"(136, 209)",[]
0,2,52.0,1055.0,0.0,"(115, 181)",[]
0,3,50.0,1018.0,0.0,"(229, 282)",[]
0,4,55.0,1106.0,0.0,"(149, 285)","[[(126, 223), 7], [(126, 223), 9]]"
0,5,56.0,1120.0,0.0,"(130, 224)",[]
0,6,53.0,1075.0,0.0,"(153, 172)",[]
0,7,50.0,1002.0,0.0,"(123, 172)",[]
0,8,50.0,1009.0,0.0,"(53, 198)",[]
0,9,48.0,962.0,0.0,"(83, 145)",[]
1,1,57.0,935.0,44.29999999999998,"(136, 209)",[]
1,2,51.0,842.0,41.79999999999999,"(115, 181)",[]
1,3,50.0,965.0,49.400000000000006,"(229, 282)",[]
1,4,60.0,1033.0,42.10000000000001,"(149, 285)","[[(126, 223), 7], [(126, 223), 9]]"
1,5,56.0,1120.0,48.099999999999994,"(130, 224)",[]
1,6,53.0,796.0,36.89999999999999,"(153, 172)",[]
1,7,54.0,832.0,39.19999999999999,"(123, 172)",[]
1,8,50.0,926.0,33.30000000000001,"(53, 198)",[]
1,9,48.0,793.0,45.85118782018997,"(83, 145)",[]
2,1,56.0,849.0,36.91,"(139, 213)",[]
2,2,52.0,857.0,33.55999999999999,"(68, 29)",[]
2,3,51.0,990.0,62.0820928,"(141, 279)",[]
2,4,59.0,1057.0,43.769999999999996,"(65, 92)","[[(126, 223), 7], [(126, 223), 9]]"
2,5,55.0,1157.0,67.7184213,"(129, 207)",[]
2,6,52.0,816.0,27.33131293172145,"(94, 236)",[]
2,7,50.0,674.0,47.579969999999996,"(171, 106)",[]
2,8,49.0,940.0,57.9041077,"(85, 119)",[]
2,9,47.0,818.0,43.49583147413298,"(63, 192)",[]
3,1,56.0,880.0,33.83699999999999,"(166, 282)",[]
3,2,51.0,819.0,30.191999999999986,"(186, 238)",[]
3,3,50.0,1020.0,70.0021332679911,"(99, 213)",[]
3,4,58.0,1093.0,58.21146603700001,"(131, 220)","[[(126, 223), 7], [(126, 223), 9]]"
3,5,57.0,1181.0,86.32988773131049,"(140, 208)",[]
3,6,51.0,836.0,28.431919052205025,"(76, 222)",[]
3,7,49.0,491.0,47.5,"(128, 262)",[]
3,8,51.0,884.0,62.66150339665619,"(169, 247)",[]
3,9,44.0,839.0,40.447082031893075,"(86, 43)",[]
4,1,52.0,899.0,36.38589999999998,"(167, 125)",[]
4,2,50.0,837.0,34.13439999999997,"(158, 234)",[]
4,3,54.0,1054.0,81.90508169417747,"(49, 191)",[]
4,4,57.0,1134.0,67.00737499683353,"(92, 60)","[[(126, 223), 7], [(126, 223), 9]]"
4,5,61.0,1209.0,89.15115029250308,"(117, 100)",[]
4,6,52.0,865.0,35.90234333654351,"(76, 115)",[]
4,7,47.0,411.0,38.8,"(28, 185)",[]
4,8,50.0,913.0,62.952093207161994,"(137, 264)",[]
4,9,45.0,871.0,63.25482170114919,"(88, 148)",[]
