Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,54.0,1085.0,0.0,"(98, 187)","[[(110, 167), 6], [(155, 270), 7], [(110, 167), 8], [(173, 216), 9], [(190, 298), 10], [(50, 188), 11], [(50, 188), 12], [(206, 284), 13], [(106, 91), 14], [(120, 236), 15], [(107, 243), 16], [(97, 139), 17], [(70, 163), 18], [(77, 206), 19], [(101, 237), 20], [(120, 236), 31], [(45, 143), 40]]"
0,2,48.0,972.0,0.0,"(144, 255)","[[(50, 188), 6], [(50, 188), 7], [(155, 270), 8], [(173, 216), 10], [(97, 139), 13], [(101, 237), 16], [(120, 236), 17], [(50, 188), 20], [(173, 216), 23], [(202, 283), 24], [(120, 212), 25], [(227, 275), 26], [(70, 163), 27], [(65, 71), 29], [(50, 188), 30], [(67, 120), 31], [(120, 236), 32], [(173, 216), 33], [(196, 271), 34], [(44, 199), 36], [(120, 236), 37], [(127, 196), 38], [(120, 212), 40], [(263, 259), 41], [(120, 236), 44], [(107, 243), 45], [(67, 120), 46], [(97, 139), 47]]"
0,3,47.0,956.0,0.0,"(44, 200)","[[(77, 206), 9], [(50, 188), 15], [(97, 139), 18], [(173, 216), 19], [(120, 236), 22], [(77, 206), 23], [(97, 139), 24], [(133, 177), 30], [(206, 284), 31], [(227, 275), 32], [(45, 143), 33], [(172, 288), 35], [(196, 271), 37], [(143, 220), 39], [(133, 177), 40], [(196, 271), 46], [(143, 220), 47], [(106, 91), 48], [(70, 163), 49], [(143, 220), 50], [(120, 236), 51], [(70, 163), 52], [(133, 177), 54], [(97, 139), 58], [(70, 163), 59], [(143, 220), 62], [(143, 220), 64], [(143, 220), 66], [(45, 143), 67], [(206, 284), 68], [(206, 284), 69], [(97, 139), 70], [(133, 177), 71]]"
0,4,47.0,957.0,0.0,"(125, 149)","[[(50, 188), 8], [(173, 216), 9], [(110, 167), 10], [(110, 167), 11], [(173, 216), 12], [(101, 237), 15], [(70, 163), 16], [(70, 163), 17], [(173, 216), 19], [(206, 284), 20], [(70, 163), 22], [(101, 237), 24], [(158, 258), 25], [(158, 258), 26], [(135, 156), 27], [(107, 243), 28], [(77, 206), 29], [(120, 236), 33], [(196, 271), 34], [(135, 156), 35], [(143, 220), 36], [(169, 268), 40], [(169, 268), 41], [(65, 71), 42]]"
0,5,55.0,1118.0,0.0,"(68, 209)","[[(173, 216), 6], [(173, 216), 7], [(155, 270), 11], [(37, 176), 12], [(50, 188), 13], [(107, 243), 14], [(77, 206), 15], [(206, 284), 16], [(87, 58), 17], [(106, 91), 19], [(196, 271), 20], [(227, 275), 21], [(106, 91), 22], [(133, 177), 23], [(170, 151), 24], [(87, 58), 25], [(70, 163), 26], [(101, 237), 27], [(37, 176), 28], [(196, 271), 30], [(50, 188), 31], [(97, 139), 33], [(158, 258), 34], [(173, 216), 35], [(70, 163), 36], [(196, 271), 37], [(106, 91), 38], [(173, 216), 39], [(173, 216), 40], [(107, 243), 41]]"
0,6,52.0,1056.0,0.0,"(86, 161)","[[(77, 206), 8], [(77, 206), 9], [(133, 177), 10], [(77, 206), 14], [(106, 91), 15], [(106, 91), 17], [(107, 243), 20], [(155, 270), 21], [(196, 271), 22], [(120, 212), 23], [(65, 71), 24], [(172, 288), 25], [(45, 143), 26], [(157, 192), 27], [(50, 188), 28], [(106, 91), 29], [(135, 156), 30], [(67, 120), 31], [(70, 163), 32]]"
0,7,53.0,1067.0,0.0,"(83, 169)","[[(173, 216), 7], [(77, 206), 10], [(155, 270), 11], [(202, 283), 12], [(155, 270), 13], [(50, 188), 15], [(120, 236), 16], [(157, 192), 18], [(120, 236), 19], [(133, 177), 20], [(65, 71), 21], [(44, 199), 22], [(67, 120), 23], [(45, 143), 24], [(206, 284), 25], [(120, 212), 26], [(173, 216), 27], [(173, 216), 29], [(135, 91), 30], [(107, 102), 31], [(206, 284), 32], [(44, 199), 34], [(133, 177), 35], [(173, 216), 37], [(227, 275), 38], [(120, 236), 39], [(133, 177), 40]]"
0,8,50.0,1018.0,0.0,"(150, 201)","[[(110, 167), 5], [(70, 163), 10], [(97, 139), 11], [(110, 167), 15], [(101, 237), 16], [(120, 236), 18], [(206, 284), 20], [(155, 270), 22], [(101, 237), 23], [(157, 192), 24], [(173, 216), 25], [(158, 258), 26], [(133, 177), 27], [(196, 271), 28], [(67, 120), 29], [(65, 71), 30], [(44, 199), 31], [(120, 236), 32]]"
0,9,55.0,1109.0,0.0,"(54, 138)","[[(110, 167), 4], [(50, 188), 5], [(50, 188), 6], [(155, 270), 8], [(70, 163), 9], [(155, 270), 11], [(260, 253), 13], [(120, 236), 14], [(50, 188), 16], [(133, 177), 17], [(155, 270), 18], [(158, 258), 19], [(101, 237), 20], [(157, 192), 21], [(77, 206), 22], [(77, 206), 23], [(101, 237), 24], [(173, 216), 25], [(50, 188), 26], [(173, 216), 27], [(155, 270), 28], [(157, 192), 29], [(87, 58), 30], [(120, 212), 31], [(196, 271), 32]]"
1,1,49.0,1113.0,49.55972,"(98, 187)","[[(110, 167), 6], [(155, 270), 7], [(110, 167), 8], [(173, 216), 9], [(190, 298), 10], [(50, 188), 11], [(50, 188), 12], [(206, 284), 13], [(106, 91), 14], [(120, 236), 15], [(107, 243), 16], [(97, 139), 17], [(70, 163), 18], [(77, 206), 19], [(101, 237), 20], [(120, 236), 31], [(45, 143), 40]]"
