Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,48.0,967.0,0.0,"(125, 232)",[]
0,2,57.0,1159.0,0.0,"(127, 149)",[]
0,3,49.0,982.0,0.0,"(36, 185)",[]
0,4,52.0,1047.0,0.0,"(98, 233)",[]
0,5,51.0,1025.0,0.0,"(76, 185)",[]
0,6,50.0,1013.0,0.0,"(203, 127)",[]
0,7,52.0,1044.0,0.0,"(71, 188)",[]
0,8,51.0,1027.0,0.0,"(184, 153)",[]
0,9,50.0,1016.0,0.0,"(76, 42)",[]
1,1,48.0,897.0,44.30000000000001,"(125, 232)",[]
1,2,57.0,1202.0,57.89693000000001,"(127, 149)",[]
1,3,49.0,1009.0,49.48125,"(36, 185)",[]
1,4,56.0,1083.0,50.34112,"(98, 233)",[]
1,5,52.0,1059.0,49.16676999999999,"(76, 185)",[]
1,6,55.0,1051.0,37.01657437973773,"(203, 127)",[]
1,7,54.0,1077.0,49.40272,"(71, 188)",[]
1,8,51.0,1057.0,30.699999999999996,"(184, 153)",[]
1,9,50.0,1047.0,41.8,"(76, 42)",[]
2,1,47.0,897.0,48.70115970000001,"(60, 83)",[]
2,2,61.0,1217.0,81.3416019867654,"(120, 219)",[]
2,3,46.0,914.0,67.19115367070313,"(42, 201)",[]
2,4,57.0,1102.0,74.66570779780403,"(148, 234)",[]
2,5,51.0,1059.0,71.0629357336176,"(146, 164)",[]
2,6,56.0,1051.0,59.04594617918739,"(70, 191)",[]
2,7,53.0,730.0,62.423595452804356,"(26, 211)",[]
2,8,50.0,1021.0,65.7483917,"(187, 291)",[]
2,9,50.0,1047.0,71.9193232,"(80, 136)",[]
3,1,44.0,912.0,59.806673298594404,"(75, 79)",[]
3,2,61.0,1242.0,86.67664907008981,"(163, 132)",[]
3,3,46.0,926.0,75.60692425739323,"(47, 194)",[]
3,4,66.0,1137.0,83.19969124287466,"(151, 256)",[]
3,5,55.0,1084.0,83.09744997171387,"(128, 208)",[]
3,6,54.0,1072.0,68.50928402549808,"(163, 157)",[]
3,7,52.0,547.0,47.81674177681202,"(207, 261)",[]
3,8,49.0,1021.0,51.13495871442515,"(211, 129)",[]
3,9,54.0,1085.0,85.7572390841433,"(140, 255)",[]
